talker_2	talker_1	phone_2	phone_1	by	score	n
s3	t1	ax	ao	b-l	0.986734693878	3920
s3	v1	ao	ax	b-l	0.604373927959	11660
s3	v1	ax	ao	b-l	0.863602058319	29150
s3	v2	ao	ax	b-l	0.774509803922	612
s3	v2	ax	ao	b-l	0.880392156863	1530
s3	w1	ao	ax	b-l	0.82123655914	1488
s3	w1	ax	ao	b-l	0.993548387097	3720
s3	w3	ao	ax	b-l	0.708024691358	3240
s3	w3	ax	ao	b-l	0.925061728395	8100
t1	c1	ao	ax	b-l	0.880591933998	49938
t1	c1	ax	ao	b-l	0.893357763627	99876
t1	d1	ao	ax	b-l	0.840762620838	26068
t1	d1	ax	ao	b-l	0.776219886451	52136
t1	f1	ao	ax	b-l	0.735155279503	8050
t1	f1	ax	ao	b-l	0.874161490683	16100
t1	f2	ao	ax	b-l	0.878246753247	616
t1	f2	ax	ao	b-l	0.974025974026	1232
t1	i1	ao	ax	b-l	0.841785714286	2800
t1	i1	ax	ao	b-l	0.849285714286	5600
t1	j1	ao	ax	b-l	0.843537414966	3528
t1	j1	ax	ao	b-l	0.966128117914	7056
t1	m2	ao	ax	b-l	0.757475083056	6020
t1	m2	ax	ao	b-l	0.903986710963	12040
t1	q1	ao	ax	b-l	0.428571428571	28
t1	q1	ax	ao	b-l	1.0	56
t1	s1	ao	ax	b-l	0.66041753945	28644
t1	s1	ax	ao	b-l	0.758692919983	57288
t1	s2	ao	ax	b-l	0.857454648526	35280
t1	s2	ax	ao	b-l	0.797052154195	70560
t1	s3	ao	ax	b-l	0.773214285714	560
t1	s3	ax	ao	b-l	0.995535714286	1120
t1	v1	ao	ax	b-l	0.749987748101	40810
t1	v1	ax	ao	b-l	0.736902719922	81620
t1	v2	ao	ax	b-l	0.802521008403	2142
t1	v2	ax	ao	b-l	0.910130718954	4284
t1	w1	ao	ax	b-l	0.921082949309	5208
t1	w1	ax	ao	b-l	0.970910138249	10416
t1	w3	ao	ax	b-l	0.806613756614	11340
t1	w3	ax	ao	b-l	0.914902998236	22680
v1	c1	ao	ax	b-l	0.352458139001	196185
v1	c1	ax	ao	b-l	0.99446710147	189051
v1	d1	ao	ax	b-l	0.508895615663	102410
v1	d1	ax	ao	b-l	0.946192975701	98686
v1	f1	ao	ax	b-l	0.276079051383	31625
v1	f1	ax	ao	b-l	0.926759639048	30475
v1	f2	ao	ax	b-l	0.233884297521	2420
v1	f2	ax	ao	b-l	0.970411663808	2332
v1	i1	ao	ax	b-l	0.676454545455	11000
v1	i1	ax	ao	b-l	0.974622641509	10600
v1	j1	ao	ax	b-l	0.295238095238	13860
v1	j1	ax	ao	b-l	0.994534291704	13356
v1	m2	ao	ax	b-l	0.417589852008	23650
v1	m2	ax	ao	b-l	0.979333040807	22790
v1	q1	ao	ax	b-l	0.0	110
v1	q1	ax	ao	b-l	1.0	106
v1	s1	ao	ax	b-l	0.592979649871	112530
v1	s1	ax	ao	b-l	0.890942289603	108438
v1	s2	ao	ax	b-l	0.459790764791	138600
v1	s2	ax	ao	b-l	0.969751422582	133560
v1	s3	ao	ax	b-l	0.156818181818	2200
v1	s3	ax	ao	b-l	0.999528301887	2120
v1	t1	ao	ax	b-l	0.126113172542	21560
v1	t1	ax	ao	b-l	0.996293800539	20776
v1	v2	ao	ax	b-l	0.303624480095	8415
v1	v2	ax	ao	b-l	0.909359970403	8109
v1	w1	ao	ax	b-l	0.218377321603	20460
v1	w1	ax	ao	b-l	0.998376952729	19716
v1	w3	ao	ax	b-l	0.28125701459	44550
v1	w3	ax	ao	b-l	0.975704635453	42930
v2	c1	ao	ax	b-l	0.762919353331	32103
v2	c1	ax	ao	b-l	0.825079569254	60639
v2	d1	ao	ax	b-l	0.770199307793	16758
v2	d1	ax	ao	b-l	0.729955139951	31654
v2	f1	ao	ax	b-l	0.646376811594	5175
v2	f1	ax	ao	b-l	0.866291560102	9775
v2	f2	ao	ax	b-l	0.911616161616	396
v2	f2	ax	ao	b-l	0.860962566845	748
v2	i1	ao	ax	b-l	0.845555555556	1800
v2	i1	ax	ao	b-l	0.609117647059	3400
v2	j1	ao	ax	b-l	0.696649029982	2268
v2	j1	ax	ao	b-l	0.886087768441	4284
v2	m2	ao	ax	b-l	0.658397932817	3870
v2	m2	ax	ao	b-l	0.821751025992	7310
v2	q1	ao	ax	b-l	0.0	18
v2	q1	ax	ao	b-l	0.941176470588	34
v2	s1	ao	ax	b-l	0.715542521994	18414
v2	s1	ax	ao	b-l	0.612874475303	34782
v2	s2	ao	ax	b-l	0.753042328042	22680
v2	s2	ax	ao	b-l	0.709360410831	42840
v2	s3	ao	ax	b-l	0.697222222222	360
v2	s3	ax	ao	b-l	0.967647058824	680
v2	t1	ao	ax	b-l	0.657596371882	3528
v2	t1	ax	ao	b-l	0.945078031212	6664
v2	v1	ao	ax	b-l	0.814522584334	26235
v2	v1	ax	ao	b-l	0.516456462516	49555
v2	w1	ao	ax	b-l	0.769713261649	3348
v2	w1	ax	ao	b-l	0.938646426312	6324
v2	w3	ao	ax	b-l	0.711385459534	7290
v2	w3	ax	ao	b-l	0.859331880901	13770
w1	c1	ao	ax	b-l	0.80740117746	221154
w1	c1	ax	ao	b-l	0.975656480703	21402
w1	d1	ao	ax	b-l	0.815001212709	115444
w1	d1	ax	ao	b-l	0.913891872538	11172
w1	f1	ao	ax	b-l	0.693436185133	35650
w1	f1	ax	ao	b-l	0.920289855072	3450
w1	f2	ao	ax	b-l	0.815615835777	2728
w1	f2	ax	ao	b-l	0.984848484848	264
w1	i1	ao	ax	b-l	0.812338709677	12400
w1	i1	ax	ao	b-l	0.884166666667	1200
w1	j1	ao	ax	b-l	0.757808499744	15624
w1	j1	ax	ao	b-l	0.996693121693	1512
w1	m2	ao	ax	b-l	0.689422355589	26660
w1	m2	ax	ao	b-l	0.951937984496	2580
w1	q1	ao	ax	b-l	0.0	124
w1	q1	ax	ao	b-l	1.0	12
w1	s1	ao	ax	b-l	0.684829565163	126852
w1	s1	ax	ao	b-l	0.737781036168	12276
w1	s2	ao	ax	b-l	0.796153353815	156240
w1	s2	ax	ao	b-l	0.874735449735	15120
w1	s3	ao	ax	b-l	0.728225806452	2480
w1	s3	ax	ao	b-l	1.0	240
w1	t1	ao	ax	b-l	0.724942396313	24304
w1	t1	ax	ao	b-l	0.992772108844	2352
w1	v1	ao	ax	b-l	0.76350356886	180730
w1	v1	ax	ao	b-l	0.732418524871	17490
w1	v2	ao	ax	b-l	0.784524562513	9486
w1	v2	ax	ao	b-l	0.895424836601	918
w1	w3	ao	ax	b-l	0.744006371963	50220
w1	w3	ax	ao	b-l	0.976131687243	4860
w3	c1	ao	ax	b-l	0.686540198735	64206
w3	c1	ax	ao	b-l	0.954253496558	160515
w3	d1	ao	ax	b-l	0.711600429646	33516
w3	d1	ax	ao	b-l	0.877431674424	83790
w3	f1	ao	ax	b-l	0.541739130435	10350
w3	f1	ax	ao	b-l	0.901178743961	25875
w3	f2	ao	ax	b-l	0.65404040404	792
w3	f2	ax	ao	b-l	0.955050505051	1980
w3	i1	ao	ax	b-l	0.693333333333	3600
w3	i1	ax	ao	b-l	0.885444444444	9000
w3	j1	ao	ax	b-l	0.66335978836	4536
w3	j1	ax	ao	b-l	0.980864197531	11340
w3	m2	ao	ax	b-l	0.559173126615	7740
w3	m2	ax	ao	b-l	0.923204134367	19350
w3	q1	ao	ax	b-l	0.0	36
w3	q1	ax	ao	b-l	1.0	90
w3	s1	ao	ax	b-l	0.576952318888	36828
w3	s1	ax	ao	b-l	0.794906049745	92070
w3	s2	ao	ax	b-l	0.678505291005	45360
w3	s2	ax	ao	b-l	0.880828924162	113400
w3	s3	ao	ax	b-l	0.580555555556	720
w3	s3	ax	ao	b-l	0.988888888889	1800
w3	t1	ao	ax	b-l	0.510912698413	7056
w3	t1	ax	ao	b-l	0.985430839002	17640
w3	v1	ao	ax	b-l	0.654583571565	52470
w3	v1	ax	ao	b-l	0.792483323804	131175
w3	v2	ao	ax	b-l	0.652868554829	2754
w3	v2	ax	ao	b-l	0.920116194626	6885
w3	w1	ao	ax	b-l	0.686529271207	6696
w3	w1	ax	ao	b-l	0.989486260454	16740
c1	d1	ae	ax	k-n	0.655580693816	39780
c1	d1	ax	ae	k-n	0.429390217626	278460
c1	f1	ae	ax	k-n	0.617647058824	41650
c1	f1	ax	ae	k-n	0.431857314354	291550
c1	f2	ae	ax	k-n	0.435003631082	4131
