"speakerpairs"	"contrasts"	"mean_score_temp"	"sp_type"	"c_type"
"c1-m2"	"k-y"	0.60330315997375	"b"	"C"
"c1-m2"	"l-t"	0.662900230889125	"b"	"C"
"c1-m2"	"l-w"	0.407149778516	"b"	"C"
"c1-m2"	"l-y"	0.58763612033975	"b"	"C"
"c1-m2"	"m-n"	0.53612412178	"b"	"C"
"c1-m2"	"m-t"	0.613086419753	"b"	"C"
"c1-m2"	"m-w"	0.54640921409225	"b"	"C"
"c1-m2"	"n-r"	0.644690860215	"b"	"C"
"c1-m2"	"n-t"	0.563518274472625	"b"	"C"
"c1-m2"	"ng-s"	0.834861111111	"b"	"C"
"c1-m2"	"s-th"	0.48146446078425	"b"	"C"
"c1-m2"	"t-v"	0.4877314814815	"b"	"C"
"c1-m2"	"t-w"	0.547410192147025	"b"	"C"
"c1-m2"	"t-y"	0.6006683375105	"b"	"C"
"c1-m2"	"w-y"	0.4544595616025	"b"	"C"
"c1-q1"	"aa-ah"	0.49174667385825	"b"	"V"
"c1-q1"	"aa-eh"	0.784192064958	"b"	"V"
"c1-q1"	"aa-ih"	0.8871598639455	"b"	"V"
"c1-q1"	"ae-ax"	0.52556923504675	"b"	"V"
"c1-q1"	"ae-ih"	0.5018244575935	"b"	"V"
"c1-q1"	"ae-uw"	0.6628339140535	"b"	"V"
"c1-q1"	"ah-ax"	0.51397196430325	"b"	"V"
"c1-q1"	"ah-ey"	0.78117534639275	"b"	"V"
"c1-q1"	"ao-ax"	0.5821068124475	"b"	"V"
"c1-q1"	"ay-ih"	0.66626020225675	"b"	"V"
"c1-q1"	"b-ch"	0.77536231884075	"b"	"C"
"c1-q1"	"b-g"	0.53852657004825	"b"	"C"
"c1-q1"	"b-hh"	0.53578024355875	"b"	"C"
"c1-q1"	"b-jh"	0.611328125	"b"	"C"
"c1-q1"	"b-k"	0.41741635101	"b"	"C"
